ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10229572,HY416738,9/7/2015 16:30,028XX W WILCOX ST,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,1124,11,2,27,6,1157389,1899227,2015,2/10/2018 15:50,41.87924187,-87.69755645,"(41.879241873, -87.697556449)"
10229573,HY416810,9/9/2015 15:07,002XX N ST LOUIS AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,TRUE,FALSE,1123,11,28,27,18,1153012,1901346,2015,2/10/2018 15:50,41.88514448,-87.71357195,"(41.88514448, -87.713571949)"
10229574,HY416674,9/3/2015 12:00,115XX S PEORIA ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,FALSE,FALSE,524,5,34,53,11,1172178,1828083,2015,2/10/2018 15:50,41.68370114,-87.64534406,"(41.683701137, -87.645344056)"
10229575,HY416860,9/9/2015 15:51,004XX W 104TH ST,4625,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,TRUE,FALSE,2232,22,34,49,26,1175032,1835941,2015,2/10/2018 15:50,41.70520165,-87.63466321,"(41.705201654, -87.634663206)"
10229577,HY416774,9/8/2015 22:00,012XX W CATALPA AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,TRUE,FALSE,2013,20,48,77,7,1167165,1936672,2015,2/10/2018 15:50,41.98178858,-87.66058188,"(41.981788583, -87.660581881)"
11224569,JB143064,2/6/2018 8:01,035XX S ARCHER AVE,560,ASSAULT,SIMPLE,VEHICLE NON-COMMERCIAL,FALSE,FALSE,912,9,11,59,08A,,,2018,2/13/2018 15:58,,,
10229578,HY416760,9/9/2015 14:55,007XX N CENTRAL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,TRUE,TRUE,1511,15,29,25,08B,1138890,1904410,2015,2/10/2018 15:50,41.89382065,-87.76535652,"(41.893820645, -87.765356519)"
10229579,HY416773,9/9/2015 14:28,015XX N DAMEN AVE,460,BATTERY,SIMPLE,RESTAURANT,FALSE,FALSE,1424,14,1,24,08B,1162781,1910371,2015,2/10/2018 15:50,41.90971057,-87.67744513,"(41.909710574, -87.677445129)"
10229580,HY416852,9/9/2015 15:26,015XX N SHEFFIELD AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,1822,18,32,8,6,1169405,1910555,2015,2/10/2018 15:50,41.91007391,-87.65310611,"(41.91007391, -87.653106106)"
10229581,HY416814,9/9/2015 15:00,002XX N CENTRAL AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,1523,15,28,25,18,1139003,1901091,2015,2/10/2018 15:50,41.88471084,-87.76502223,"(41.884710837, -87.765022234)"
10229583,HY416736,9/9/2015 12:37,007XX E 132ND ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,CHA PARKING LOT/GROUNDS,TRUE,FALSE,533,5,9,54,15,1183566,1818012,2015,2/10/2018 15:50,41.65580775,-87.60396869,"(41.655807747, -87.60396869)"
11228877,JB149540,10/23/2017 16:00,066XX N MAPLEWOOD AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,2412,24,50,2,11,,,2017,2/13/2018 15:58,,,
10229584,HY416824,9/9/2015 7:45,083XX S ST LOUIS AVE,560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,834,8,18,70,08A,1154500,1849248,2015,2/10/2018 15:50,41.74215095,-87.70949656,"(41.74215095, -87.70949656)"
10229586,HY416798,9/9/2015 10:30,107XX S FOREST AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,513,5,9,49,5,1180150,1833846,2015,2/10/2018 15:50,41.69933722,-87.61598568,"(41.699337217, -87.615985678)"
10229588,HY416875,9/9/2015 15:50,001XX E 14TH ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,132,1,2,33,6,1177495,1893877,2015,2/10/2018 15:50,41.86412872,-87.62389354,"(41.864128718, -87.623893538)"
10229590,HY416610,9/8/2015 22:00,118XX S CAMPBELL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2212,22,19,75,14,1161854,1826131,2015,2/10/2018 15:50,41.67856452,-87.6831909,"(41.678564517, -87.683190899)"
10229591,HY416823,9/1/2015 13:00,003XX N CANAL ST,1310,CRIMINAL DAMAGE,TO PROPERTY,BANK,FALSE,FALSE,1214,12,42,28,14,1173064,1902174,2015,2/10/2018 15:50,41.88699557,-87.63991337,"(41.886995567, -87.639913366)"
10229593,HY416892,9/9/2015 15:39,040XX W 26TH ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,1031,10,22,30,6,1150021,1886423,2015,2/10/2018 15:50,41.84425276,-87.72494385,"(41.844252757, -87.724943845)"
10229594,HY416893,9/9/2015 7:00,016XX N MARCEY ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1811,18,32,7,6,1169303,1911328,2015,2/10/2018 15:50,41.91219729,-87.6534583,"(41.912197285, -87.653458301)"
10229596,HY416855,8/8/2015 0:00,027XX W ALTGELD ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,FALSE,FALSE,1431,14,1,22,11,1157837,1916506,2015,2/10/2018 15:50,41.92664779,-87.69543969,"(41.926647792, -87.695439685)"
10229598,HY416749,9/9/2015 14:00,013XX W CABRINI ST,460,BATTERY,SIMPLE,PARK PROPERTY,FALSE,FALSE,1231,12,25,28,08B,1167460,1896396,2015,2/10/2018 15:50,41.87126271,-87.66065899,"(41.871262712, -87.660658987)"
